KGS_ID,Latitude,Longitude,Location,Operator,Lease,API,API_NUM_NODASH,Elevation,Elev_Ref,Depth_start,Depth_stop,URL,url_year,key
1044964880,38.1265968,-101.0201179,"T22S R34W, Sec. 23,   NW NW SE","American Warrior, Inc.",Six M 3-23,15-055-22382,15055223820000.0,2936.0, KB,1695.0,4960.5,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2017/1046417780.las,2017.0,1044964880|15055223820000.0
1006053178,38.1059496,-101.0416979,"T22S R34W, Sec. 27,   SW SE SW","Oxy USA, Inc.",Bailey 'C' 1,15-055-21109,15055211090000.0,2957.0, KB,1906.0,4970.0,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/22_34W/1001179027.las,,1006053178|15055211090000.0
1006053481,38.1068272,-101.0451548,"T22S R34W, Sec. 27,    SW SW","Oxy USA, Inc.",Bailey 'C' 3,15-055-21276,15055212760000.0,2958.0, KB,1871.0,4855.0,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/22S34W/1006347341.las,,1006053481|15055212760000.0
1028639496,38.1104514,-101.0452232,"T22S R34W, Sec. 27,    NW SW","Oxy USA, Inc.",Bosworth 'A' 2,15-055-21471-0001,15055214710001.0,2942.0, GL,42.0,4870.0,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/22_34W/1001179029.las,,1028639496|15055214710001.0
1006053036,38.1186345,-101.0419373,"T22S R34W, Sec. 27,   NW NE NW",McCoy Petroleum Corp.,Bailey 'B' 1-27,15-055-21033,15055210330000.0,2950.0, KB,3729.0,4865.5,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/22S34W/1006347316.las,,1006053036|15055210330000.0
1006052987,38.1185965,-101.0465237,"T22S R34W, Sec. 27,   NW NW NW",McCoy Petroleum Corp.,Bailey 'OE' 1-27,15-055-21004,15055210040000.0,2958.0, KB,3720.0,4900.0,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/22S34W/1006347312.las,,1006052987|15055210040000.0
1006053168,38.1151748,-101.0418928,"T22S R34W, Sec. 27,   NW SE NW",McCoy Petroleum Corp.,Bailey 'B' 2-27,15-055-21104,15055211040000.0,2952.0, KB,3718.0,4905.0,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/22S34W/1006347329.las,,1006053168|15055211040000.0
1046945291,38.1155264,-101.0442035,"T22S R34W, Sec. 27,  NW NE SW NW",BEREXCO LLC,BAILEY OE 3-27,15-055-22512,15055225120000.0,2952.0, KB,1765.0,4870.0,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2021/1051985007.las,2021.0,1046945291|15055225120000.0
1044136989,38.1085246,-101.0391464,"T22S R34W, Sec. 27,  NE NE SE SW","Oxy USA, Inc.",Bosworth 'B' 1,15-055-22166,15055221660000.0,2958.0, KB,1800.0,5033.5,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2015/1044966844.las,2015.0,1044136989|15055221660000.0
1044960489,38.1133928,-101.0441945,"T22S R34W, Sec. 27,  NW SE SW NW",BEREXCO LLC,Bailey 'OE' 2-27,15-055-22375,15055223750000.0,2953.0, KB,1699.0,4880.0,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2017/1046462289.las,2017.0,1044960489|15055223750000.0
